Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
0,-1.0386135163060204,1,4.0,0,1,0,0,28.0,2.0,3.0,3.0,0.6315951060914295,1.0947777384150081,-1.7833905967073496,0.8601415322224788
0,0.33357038345253087,0,4.0,2,1,3,0,30.0,3.0,2.0,3.0,1.976912561144874,-1.4268583411935547,-1.5703654875095456,2.6074949300832433
0,1.206778319662518,0,2.0,4,0,2,0,45.0,6.0,2.0,0.0,-0.9319245450579748,0.3278567896289489,-1.6129705093491065,-0.5217797848356744
0,1.581010292323941,0,1.0,4,0,1,0,52.0,3.0,2.0,2.0,-0.8143371729414023,1.051830165282989,-1.6129705093491065,4.149030259445985
0,-0.040661589208892186,0,3.0,5,0,3,0,40.0,4.0,3.0,3.0,1.362969284192795,0.33399215721923736,-1.6129705093491065,0.3686983890741387
0,0.7078023561139539,0,1.0,3,1,3,0,40.0,5.0,1.0,1.0,-0.1484854359179838,0.07876086546323684,-1.0591052254348166,-0.4713753598973831
0,0.7078023561139539,1,3.0,0,0,0,0,41.0,6.0,3.0,2.0,-0.7836823616557504,0.47387853827781456,-1.4851554438304242,1.809424868560298
1,0.9572903378882359,1,1.0,0,0,0,0,40.0,2.0,3.0,1.0,-1.426568661881111,-0.4353829386029373,-1.9538106840655924,0.7887352635598994
0,2.4542182285339282,1,0.0,5,0,0,0,54.0,3.0,4.0,2.0,-0.58010988276234,1.2469348546541623,-1.144315269113938,5.085712489549232
0,0.33357038345253087,0,2.0,0,0,4,0,36.0,4.0,2.0,0.0,1.3796288466331894,1.6616857037576631,-1.2721303346326203,-1.9415044205975458
1,1.206778319662518,0,2.0,0,0,4,0,36.0,1.0,3.0,3.0,1.1378052016418914,-1.4268583411935547,-2.1242307714238358,-1.4626623836837784
0,0.33357038345253087,1,4.0,0,0,0,0,36.0,6.0,4.0,2.0,-0.5380581499319879,1.272703398533374,-1.3999454001513025,-0.4713753598973831
0,0.33357038345253087,1,3.0,0,1,0,0,36.0,2.0,2.0,0.0,-0.7125859127784915,1.4727163819767781,-1.0591052254348166,-0.4713753598973831
0,1.206778319662518,0,2.0,2,0,1,0,50.0,4.0,2.0,3.0,-0.21530362424814004,0.8800398727549116,-1.5277604656699848,2.960325904651283
0,-0.29014957098317423,1,5.0,0,0,0,0,35.0,4.0,1.0,2.0,0.1504960138341137,-0.22678044053312918,-1.698180553028228,1.5574027438688414
0,-0.5396375527574563,0,2.0,5,1,2,0,34.0,4.0,4.0,3.0,-0.5257900368133394,0.7242015359615843,-1.6129705093491065,2.258864324260062
0,1.082034328775377,0,3.0,0,0,3,0,47.0,4.0,2.0,3.0,-0.49416127693218953,1.046921871210758,-1.357340378311742,0.5073105576544394
1,0.20882639256538985,0,2.0,0,0,2,1,35.0,2.0,4.0,4.0,1.976912561144874,-1.4268583411935547,-2.1242307714238358,-0.8914122343831438
0,-0.9138695254188793,0,1.0,5,2,2,0,33.0,5.0,3.0,3.0,0.08954976405380927,0.10821062989662152,-1.5703654875095456,1.8556289247537314
0,-0.29014957098317423,0,4.0,1,1,4,0,32.0,2.0,4.0,2.0,1.5857685283138154,1.1524501937637197,-1.655575531188667,0.08727368316867876
0,0.832546347001095,0,2.0,5,1,4,0,44.0,4.0,2.0,2.0,1.0650888874097215,0.5781797873127187,-1.7833905967073496,0.8601415322224788
0,0.5830583652268129,0,4.0,2,1,3,1,38.0,4.0,1.0,4.0,1.976912561144874,0.43215803866385294,-1.3999454001513025,-0.4713753598973831
0,1.331522310549659,0,2.0,3,0,2,0,52.0,5.0,3.0,3.0,0.20232034398722287,0.8027342411172768,-1.2721303346326203,-0.18995065399192315
0,-0.29014957098317423,1,2.0,2,1,0,0,20.0,6.0,3.0,3.0,-1.0295734645142878,0.3744855833151413,-1.5703654875095456,-0.6561915846711176
0,0.33357038345253087,0,2.0,0,0,2,0,32.0,2.0,2.0,2.0,-1.2558346281831116,-0.06848795670368654,-2.039020727744714,7.089288380846311
0,0.45831437433967187,0,2.0,4,0,3,0,38.0,6.0,2.0,2.0,1.644192875655362,0.2051494378231794,-2.1242307714238358,5.409140882903268
0,0.5830583652268129,0,4.0,0,1,4,0,42.0,3.0,2.0,3.0,1.976912561144874,0.7364722711421613,-1.0165002035952557,1.4187905752885406
0,1.082034328775377,1,2.0,0,0,0,0,42.0,5.0,3.0,3.0,-0.9638174203989174,-0.15806432352189825,-1.2295253127930597,-1.790291145782672
0,0.9572903378882359,0,1.0,0,0,2,0,43.0,4.0,2.0,3.0,-0.6720881483773439,1.0641009004635658,-1.868600640386471,-1.3114491088689044
0,-0.5396375527574563,0,5.0,2,0,3,0,37.0,6.0,2.0,2.0,1.5380425704825733,0.448109994398603,-1.2721303346326203,-0.7990041219962764
0,-0.29014957098317423,0,1.0,3,1,2,0,35.0,3.0,3.0,3.0,1.6015245181688575,0.9438476956939117,-1.7407855748677887,1.9732392496097444
0,0.832546347001095,0,2.0,0,1,3,0,36.0,5.0,3.0,2.0,-0.03569220019702755,0.43215803866385294,-1.357340378311742,-1.1644362027988884
0,-0.29014957098317423,1,4.0,0,1,0,0,36.0,6.0,4.0,2.0,0.2679399030947567,1.6616857037576631,-1.7833905967073496,4.884094789796067
0,-1.1633575071931614,1,3.0,2,1,0,0,29.0,4.0,4.0,2.0,0.27373837229602427,0.7831010648283536,-0.33481985416228355,1.0659596007205012
0,0.33357038345253087,0,3.0,0,2,2,0,30.0,6.0,1.0,2.0,-0.8193919441314649,0.8100966822256229,-1.7833905967073496,-1.5088664398772123
0,0.08408240167824883,0,2.0,0,0,3,0,38.0,6.0,3.0,2.0,1.7868437356344673,0.9033542695980078,-1.2721303346326203,-1.3114491088689044
0,0.08408240167824883,0,3.0,0,0,2,0,37.0,4.0,4.0,0.0,0.48429994294398754,0.653031271914238,-1.0165002035952557,2.939324060926994
0,-0.29014957098317423,0,1.0,0,0,4,0,36.0,6.0,2.0,2.0,1.976912561144874,0.4542453619888914,-1.5277604656699848,-0.7822026470168459
1,1.082034328775377,1,4.0,0,0,1,0,45.0,2.0,4.0,3.0,-0.9922143849091839,-1.4268583411935547,-2.252045836942518,0.007466677016384131
0,1.581010292323941,1,1.0,0,0,0,0,52.0,2.0,3.0,3.0,0.6641115067466091,0.3119048338941989,-1.9112056622260318,0.44430502648157527
0,0.832546347001095,0,1.0,0,2,3,0,35.0,5.0,4.0,2.0,1.976912561144874,0.06894427731877528,-1.6129705093491065,5.409140882903268
0,0.7078023561139539,0,2.0,0,0,2,0,47.0,5.0,3.0,0.0,-0.6095531526247527,0.9168520782966424,-1.2721303346326203,-0.18995065399192315
0,0.832546347001095,0,2.0,5,1,4,0,35.0,4.0,2.0,1.0,1.3397082819531685,1.0960048119330659,-1.4425504219908634,0.04106962697524502
0,-0.41489356187031523,1,3.0,2,1,0,0,35.0,5.0,2.0,3.0,-0.3244607555513864,-1.4268583411935547,-1.3999454001513025,-0.4713753598973831
0,-0.29014957098317423,0,3.0,5,1,2,0,31.0,4.0,3.0,1.0,0.9106819442131291,-0.39979780657926417,-2.166835793263396,4.569067133931746
0,1.331522310549659,0,2.0,0,0,4,0,45.0,5.0,3.0,3.0,-0.03691176952076356,-1.4268583411935547,-1.5277604656699848,3.8802066597750984
0,0.5830583652268129,1,2.0,5,1,0,0,36.0,3.0,2.0,2.0,0.6424360879419826,-1.4268583411935547,-1.868600640386471,2.6074949300832433
0,0.33357038345253087,0,4.0,5,1,3,0,38.0,4.0,3.0,0.0,1.8722167437684534,0.9696162395731233,-1.2721303346326203,6.1736079944673525
0,-0.1654055800960332,0,1.0,0,1,1,0,36.0,4.0,4.0,3.0,0.20101818515962813,-1.4268583411935547,-1.314735356472181,-0.39156835374508847
0,0.832546347001095,0,0.0,0,1,3,0,42.0,5.0,4.0,1.0,-0.7666661538007269,1.0726904150899697,-1.5277604656699848,0.9273474321402005
0,-0.1654055800960332,1,3.0,0,0,0,0,28.0,5.0,1.0,2.0,-0.8198142537263838,1.5672010428672207,-1.9112056622260318,2.1412539994040487
0,2.204730246759646,0,1.0,0,0,0,0,52.0,6.0,4.0,3.0,-1.241963838713604,-0.32862754253191784,-1.3999454001513025,0.7131286261524624
0,-0.1654055800960332,0,3.0,0,0,1,0,35.0,5.0,4.0,2.0,-0.4885659685265715,0.04562988047567908,-1.4851554438304242,-1.714684508375235
0,0.832546347001095,0,3.0,4,0,1,0,35.0,5.0,3.0,2.0,-0.389434390245692,0.6665290806128726,-0.973895181755695,-0.13534586030877419
0,1.206778319662518,0,3.0,3,0,4,0,50.0,3.0,2.0,0.0,0.6161204712583407,1.3340570744362585,-1.9538106840655924,0.06207147069953308
1,0.08408240167824883,0,2.0,0,0,3,0,37.0,2.0,3.0,3.0,-0.00032568948288158513,0.5708173462043724,-1.9964157059051533,-1.3744546400417688
0,0.33357038345253087,1,3.0,3,1,0,0,43.0,4.0,4.0,0.0,1.5435912108543628,0.9782057541995272,-1.8259956185469102,1.2087721380456602
0,-0.6643815436445972,1,3.0,0,0,0,1,34.0,5.0,3.0,3.0,1.976912561144874,1.0923235913788927,-1.655575531188667,0.08727368316867876
0,0.832546347001095,0,3.0,0,0,4,0,34.0,6.0,2.0,2.0,-0.6611052605689438,0.12416258563137154,-1.357340378311742,-0.8914122343831438
0,-0.29014957098317423,1,2.0,0,1,0,0,32.0,3.0,3.0,3.0,-0.6284631457514274,0.8788127992368538,-2.1242307714238358,3.308956510474464
0,-0.29014957098317423,0,3.0,5,0,2,0,25.0,3.0,3.0,0.0,-1.1501686583533688,-1.4268583411935547,-1.314735356472181,0.322494332880705
0,-0.41489356187031523,1,4.0,1,0,0,0,33.0,2.0,3.0,3.0,0.4578463803377819,-0.2905882634721293,-1.1869202909534988,-0.7149967470991241
0,0.832546347001095,0,2.0,1,1,4,0,36.0,6.0,1.0,2.0,1.976912561144874,-0.2844528958818408,-1.868600640386471,1.6288090125314212
0,-0.29014957098317423,0,1.0,2,0,2,0,36.0,5.0,2.0,3.0,1.04424142136372,1.5672010428672207,-1.4851554438304242,-0.18995065399192315
0,1.9552422649853642,1,1.0,0,0,0,0,56.0,6.0,0.0,0.0,-1.426568661881111,-1.4268583411935547,-0.8886851380765735,1.6078071688071327
0,0.9572903378882359,0,4.0,0,2,4,0,36.0,6.0,3.0,2.0,1.954173517640232,0.9782057541995272,-1.4425504219908634,0.46950723895072094
0,1.331522310549659,0,4.0,0,0,2,0,39.0,4.0,3.0,0.0,0.4715977083226466,0.8874023138632577,-1.3999454001513025,-1.349252427572623
0,-0.5396375527574563,0,3.0,0,0,2,0,36.0,5.0,3.0,3.0,1.090519309799565,-0.3654397480736487,-1.868600640386471,3.834002603581665
0,-0.5396375527574563,0,4.0,5,2,2,0,36.0,5.0,1.0,2.0,-0.5494833960100171,0.6272627280350265,-1.2721303346326203,-1.5382690210912155
0,0.9572903378882359,1,0.0,2,0,0,0,36.0,2.0,2.0,2.0,-1.3858963688009696,-0.5605444374448222,-1.7407855748677887,9.609509627760875
0,0.20882639256538985,0,3.0,0,1,3,0,35.0,6.0,1.0,0.0,0.9754395572727943,0.1609747911731024,-1.1869202909534988,1.4439927877576864
0,0.33357038345253087,0,1.0,0,1,3,0,36.0,6.0,2.0,2.0,1.331009489467989,-0.32862754253191784,-1.9964157059051533,3.607182691359354
0,0.7078023561139539,0,3.0,5,0,3,0,48.0,3.0,2.0,0.0,0.8430985373046695,0.1352062472938908,-1.2295253127930597,1.7044156499388583
0,0.45831437433967187,0,3.0,5,1,3,0,39.0,4.0,1.0,4.0,0.6460971692403827,0.48614927345839154,-1.698180553028228,0.30989322664613217
0,0.33357038345253087,0,1.0,4,0,2,0,36.0,4.0,6.0,3.0,1.5947623062098006,0.0407215864034483,-1.7407855748677887,1.2087721380456602
0,0.832546347001095,1,2.0,5,0,0,0,44.0,3.0,2.0,3.0,-0.01756334616920447,0.9058084166341231,-1.144315269113938,1.2087721380456602
0,0.45831437433967187,0,2.0,0,1,4,0,36.0,3.0,2.0,2.0,1.976912561144874,-0.1715621322205329,-2.209440815102957,-0.3663661412759428
0,1.082034328775377,1,1.0,4,0,0,0,36.0,4.0,1.0,0.0,-0.5790972578812219,0.9671620925370079,-1.5277604656699848,-0.4251713037039494
0,0.832546347001095,0,1.0,5,0,3,0,47.0,3.0,2.0,2.0,0.8683769253779611,0.826048637960373,-1.144315269113938,3.447568679054765
0,0.08408240167824883,1,3.0,5,1,1,0,41.0,4.0,3.0,3.0,-0.3897170629676483,0.4628348766152953,-0.7608700725578912,-1.3870557462763415
0,1.082034328775377,0,2.0,3,1,4,1,42.0,2.0,3.0,2.0,1.976912561144874,0.44688292088054526,-0.973895181755695,-1.500465702387497
0,0.08408240167824883,0,3.0,0,1,2,0,36.0,4.0,2.0,2.0,-0.6662165980895192,-1.4268583411935547,-1.7407855748677887,0.5619153513375884
0,1.4562663014368,0,4.0,0,1,4,0,52.0,6.0,1.0,0.0,1.8988482810554752,-1.4268583411935547,-1.4851554438304242,-1.4626623836837784
1,0.832546347001095,0,2.0,0,0,3,0,41.0,3.0,3.0,2.0,0.8152833152587751,1.3058343835209316,-1.7833905967073496,-1.5088664398772123
0,0.7078023561139539,0,2.0,5,1,1,0,45.0,3.0,1.0,2.0,0.97393668996339,0.16833723228144856,-1.5277604656699848,2.960325904651283
0,0.45831437433967187,1,1.0,2,0,0,1,36.0,4.0,2.0,2.0,0.8351990153667108,1.1377253115470274,-1.4851554438304242,0.22168548300412233
0,-0.5396375527574563,1,1.0,0,0,0,0,36.0,5.0,1.0,2.0,-0.8815387244401897,1.0088825921509694,-2.081625749584275,0.27629027668727124
0,-0.41489356187031523,0,4.0,0,0,1,0,39.0,5.0,1.0,2.0,0.12247366656937009,1.6616857037576631,-2.081625749584275,6.24921463187479
0,1.331522310549659,0,4.0,0,0,3,0,46.0,3.0,2.0,3.0,1.3525698534072201,0.612537845818334,-1.5703654875095456,3.497973103993056
0,0.7078023561139539,0,1.0,0,0,3,0,43.0,3.0,1.0,4.0,-0.41199858240553827,1.6616857037576631,-1.314735356472181,-0.05133848541162243
0,0.08408240167824883,0,2.0,4,1,0,0,37.0,2.0,1.0,3.0,-0.5587121520667684,-0.44888074730157196,-1.3999454001513025,1.2087721380456602
0,-0.29014957098317423,1,3.0,0,1,1,0,38.0,3.0,1.0,0.0,0.8226014531919563,-0.4599244089640912,-1.6129705093491065,0.9105459571607701
0,0.832546347001095,0,2.0,5,2,2,0,36.0,5.0,3.0,2.0,0.37736804447170275,1.1499960467276045,-1.655575531188667,0.08727368316867876
0,-0.1654055800960332,0,4.0,3,2,2,0,40.0,5.0,1.0,0.0,0.6927922615712377,0.02845085122287135,-0.973895181755695,2.0950499432106158
0,2.0799862558725053,1,1.0,3,0,0,0,36.0,6.0,2.0,3.0,-0.3402709507851316,0.4971929351209108,-1.5277604656699848,2.179057318107768
0,-0.9138695254188793,1,2.0,1,1,0,0,27.0,4.0,2.0,2.0,0.13882269276590506,1.6616857037576631,-1.9538106840655924,0.06207147069953308
1,0.20882639256538985,1,5.0,5,0,0,0,38.0,1.0,3.0,3.0,0.41429986597367197,-1.4268583411935547,-1.9964157059051533,0.3686983890741387
0,0.5830583652268129,0,1.0,0,1,4,0,42.0,6.0,2.0,3.0,0.541386702243733,1.4285417353267011,-1.9964157059051533,-0.3201620850825091
0,0.9572903378882359,0,4.0,0,0,3,0,34.0,2.0,3.0,2.0,1.0789565309284985,1.6616857037576631,-1.698180553028228,3.308956510474464
0,1.581010292323941,1,1.0,0,1,0,0,36.0,3.0,2.0,3.0,0.16102959165179317,-0.04271941282447495,-1.9112056622260318,-0.18995065399192315
1,1.581010292323941,0,1.0,3,1,2,0,53.0,2.0,3.0,3.0,1.0827531697044221,-1.4268583411935547,-2.3372558806216395,1.2087721380456602
1,0.20882639256538985,1,4.0,2,0,0,0,38.0,3.0,2.0,3.0,-0.7396766554560896,-1.4268583411935547,-2.081625749584275,-1.080428827901736
0,-0.6643815436445972,1,2.0,0,1,0,0,32.0,6.0,3.0,2.0,-0.9475143298315236,1.1708562965345852,-1.4425504219908634,9.084463534653676
0,1.082034328775377,0,2.0,0,0,4,0,50.0,3.0,2.0,0.0,0.7438348013927639,0.45792658254306456,-1.314735356472181,1.2087721380456602
0,0.08408240167824883,1,4.0,0,0,0,0,36.0,4.0,1.0,3.0,-0.020163076290088754,0.07998793898129453,-1.4851554438304242,2.5024857114618033
0,-0.6643815436445972,0,2.0,5,0,3,0,24.0,4.0,1.0,3.0,0.5798055266452161,-0.07216917725785962,-1.1017102472743772,-0.3663661412759428
0,-0.7891255345317383,0,3.0,5,1,3,0,28.0,5.0,1.0,0.0,1.4756760862495821,-1.4268583411935547,-1.8259956185469102,-1.0300244029634447
0,2.7037062103082103,0,1.0,0,0,0,0,56.0,5.0,2.0,3.0,0.9995895004599338,0.6002671106377572,-1.3999454001513025,5.026907327121226
0,0.45831437433967187,1,1.0,0,1,1,1,31.0,2.0,2.0,3.0,1.3022695492820335,-1.4268583411935547,-1.8259956185469102,-0.5931860534982538
0,0.08408240167824883,0,4.0,2,1,2,0,41.0,6.0,2.0,2.0,-0.8761827719137464,0.4628348766152953,-1.5277604656699848,2.179057318107768
0,0.832546347001095,1,1.0,3,0,0,0,47.0,4.0,2.0,3.0,-0.9942008264124093,-0.28567996939989854,-1.655575531188667,2.7377063611738297
0,-0.5396375527574563,1,5.0,0,0,1,0,36.0,3.0,3.0,3.0,-1.0534709932575435,-1.4268583411935547,-1.5703654875095456,0.15867995183125813
0,0.20882639256538985,1,4.0,5,1,1,0,38.0,6.0,1.0,3.0,0.4288812951988187,-1.4268583411935547,-1.5277604656699848,0.41910281401243005
0,0.33357038345253087,0,1.0,4,0,4,0,38.0,6.0,1.0,3.0,0.5795767868891397,-0.6685269070338993,-1.6129705093491065,0.3686983890741387
0,-0.29014957098317423,1,2.0,2,0,0,1,35.0,4.0,3.0,2.0,1.917150019688724,-1.4268583411935547,-1.7407855748677887,7.211099074447181
0,-0.41489356187031523,1,4.0,0,2,0,0,34.0,2.0,3.0,1.0,-0.5720355610628377,0.970843313091181,-1.5277604656699848,-0.026136272942476762
0,1.206778319662518,0,0.0,5,0,3,0,43.0,5.0,2.0,1.0,-0.6936464470977718,-0.1703350587024752,-1.5703654875095456,1.2087721380456602
0,1.581010292323941,1,1.0,3,1,0,0,36.0,2.0,3.0,3.0,-0.2730463118280349,0.17447259987173702,-1.4425504219908634,0.46950723895072094
0,-0.040661589208892186,0,1.0,2,0,2,0,36.0,3.0,2.0,2.0,1.4167023080870176,1.1144109147039312,-1.144315269113938,6.110602463294487
0,0.08408240167824883,1,4.0,0,2,0,0,41.0,6.0,5.0,3.0,-0.4799198357795771,1.167175075980412,-1.7407855748677887,-1.8868996269143967
0,0.45831437433967187,1,4.0,2,0,1,0,40.0,5.0,2.0,3.0,-0.6165179903841903,0.49964708215702613,-1.5703654875095456,2.6074949300832433
0,0.5830583652268129,1,3.0,2,0,0,0,43.0,3.0,1.0,2.0,-0.9789014018641432,0.7340181241060458,-1.4851554438304242,-1.189638415268034
0,0.08408240167824883,1,3.0,2,0,0,0,36.0,4.0,1.0,0.0,-1.3051829352023405,-0.5114614967225144,-1.5277604656699848,-0.026136272942476762
0,1.4562663014368,1,4.0,2,0,0,0,47.0,3.0,3.0,3.0,-0.704969895814067,1.2395724135458162,-1.7833905967073496,6.610446343932543
1,-0.040661589208892186,0,5.0,0,1,3,0,33.0,6.0,3.0,3.0,1.9279893229922584,1.6616857037576631,-2.039020727744714,-0.05133848541162243
0,0.832546347001095,0,3.0,5,0,2,0,47.0,5.0,2.0,2.0,-1.426568661881111,-1.4268583411935547,-0.5052399415205266,0.48630871393015135
0,-0.1654055800960332,1,4.0,2,2,0,0,36.0,4.0,3.0,3.0,1.1449812353682405,0.6824810363476227,-1.1869202909534988,3.1703443418941633
0,0.7078023561139539,1,1.0,5,0,0,0,45.0,6.0,3.0,3.0,0.22150535594478749,-0.33108168956803324,-1.5703654875095456,0.15867995183125813
1,0.832546347001095,0,2.0,0,0,3,0,36.0,2.0,2.0,1.0,-0.5663528513233537,-1.4268583411935547,-1.9112056622260318,-1.9415044205975458
0,0.45831437433967187,0,2.0,5,0,3,1,45.0,3.0,1.0,3.0,1.976912561144874,0.11925429155914076,-1.314735356472181,0.322494332880705
